algorithm,label,seed,training_job,step,raw_reward,loss,pg_loss,kl_loss,ppo_kl,grad_norm,advantage_mean,reinforce_pp_advantage_raw_mean,reinforce_pp_advantage_raw_std,reinforce_pp_advantage_normalized_mean,reinforce_pp_advantage_normalized_std,response_length_mean,truncated_ratio,step_time,response_tokens_per_second,effective_tokens_per_gpu_per_second
grpo,GRPO,42,937655,48,0.5,6.278604269e-05,7.450580597e-09,0.006277777255,0,1.542053819,-1.490116119e-08,,,,,766.625,0.5,59.38279724,413.116272,3719.512695
grpo,GRPO,42,937655,49,0.625,7.394701242e-05,-1.11758709e-08,0.007396032102,0,1.047634006,1.11758709e-08,,,,,797.90625,0.25,62.67871475,407.3631897,3859.819336
reinforce_plus_plus,REINFORCE++,42,937653,0,0.84375,-0.05179996416,-0.05179996416,,0,1.469104886,0.05179998279,0.8240246177,0.3807992339,0,1,894.65625,0.34375,277.3216553,103.2339172,2235.752686
reinforce_plus_plus,REINFORCE++,42,937653,1,0.59375,-0.1342403591,-0.1342403591,,0,1.622374058,0.1342403591,0.526902914,0.49880898,0,1,878.9375,0.5,68.72263336,409.2683716,3897.325928
reinforce_plus_plus,REINFORCE++,42,937653,2,0.125,-0.001184895635,-0.001184895635,,0,1.41267705,0.001184917055,0.1247367784,0.3300044835,0,1,867.625,0.5,67.70433044,410.0771484,3842.906738
reinforce_plus_plus,REINFORCE++,42,937653,3,0.34375,-0.03495896235,-0.03495896235,,0,1.52625668,0.0349589698,0.3280023634,0.4695675671,0,1,976.125,0.71875,74.66859436,418.3284912,3993.085205
reinforce_plus_plus,REINFORCE++,42,937653,4,0.09375,0.003752574325,0.003752574325,,0,1.59262383,-0.003752593882,0.09420023859,0.2960993946,0,1,1012.71875,0.9375,77.13869476,420.1134033,3996.197266
reinforce_plus_plus,REINFORCE++,42,937653,5,0.5,-0.03616005927,-0.03616005927,,0,1.484042645,0.03616006672,0.4811220765,0.4991982281,0,1,988.53125,0.8125,75.77775574,417.444397,4000.831787
reinforce_plus_plus,REINFORCE++,42,937653,6,0.46875,-0.06087179482,-0.06087179482,,0,1.618999362,0.06087177992,0.4392052889,0.4972723126,0,1,967.46875,0.625,74.46661377,415.7433472,3986.527588
reinforce_plus_plus,REINFORCE++,42,937653,7,0.21875,-0.01784592867,-0.01784592867,,0,1.475495934,0.01784593612,0.2118780166,0.4073178172,0,1,1014.53125,0.875,77.08198547,421.1749268,4151.80127
reinforce_plus_plus,REINFORCE++,42,937653,8,0.625,-0.04010143131,-0.04010143131,,0,1.467421651,0.04010144994,0.6046162844,0.4893793166,0,1,969.4375,0.46875,74.14963531,418.3702393,4013.115479
reinforce_plus_plus,REINFORCE++,42,937653,9,0.4375,-0.09851343185,-0.09851343185,,0,1.556280971,0.0985134691,0.3869146705,0.4863754511,0,1,943.75,0.71875,72.26873016,417.8847351,3926.864746
reinforce_plus_plus,REINFORCE++,42,937653,10,0.28125,-0.05511775985,-0.05511775985,,0,1.452658176,0.05511774868,0.2588065267,0.4370649457,0,1,990.65625,0.84375,76.03512573,416.9257507,3991.129395
reinforce_plus_plus,REINFORCE++,42,937653,11,0.5625,-0.1151690334,-0.1151690334,,0,1.661115408,0.1151690334,0.5040658712,0.4990949035,0,1,905.1875,0.5625,71.14965057,407.1137085,3915.773193
reinforce_plus_plus,REINFORCE++,42,937653,12,0.3125,-0.1047531366,-0.1047531366,,0,1.780721068,0.1047531515,0.2659147382,0.4419661462,0,1,941.6875,0.75,72.7673111,414.1145325,3941.255859
reinforce_plus_plus,REINFORCE++,42,937653,13,0.53125,-0.09193912894,-0.09193912894,,0,1.579320908,0.09193912148,0.4828748107,0.5006869435,0,1,932.5625,0.5625,71.67111206,416.3741455,3951.714111
reinforce_plus_plus,REINFORCE++,42,937653,14,0.625,-0.1766608059,-0.1766608059,,0,1.709568739,0.176660791,0.5343365073,0.4965205491,0,1,829.3125,0.46875,63.99038315,414.7185669,3830.421143
reinforce_plus_plus,REINFORCE++,42,937653,15,0.21875,-0.1244607717,-0.1244607717,,0,1.682859659,0.1244607717,0.1695337743,0.3767241836,0,1,965.9375,0.78125,74.54563141,414.6453552,3954.107422
reinforce_plus_plus,REINFORCE++,42,937653,16,0.3125,-0.1521410048,-0.1521410048,,0,1.757553816,0.1521410495,0.2454263419,0.4310032427,0,1,934.8125,0.78125,72.47590637,412.7440796,3916.383301
reinforce_plus_plus,REINFORCE++,42,937653,17,0.6875,-0.06754756719,-0.06754756719,,0,1.486576319,0.06754759699,0.6532436609,0.4744853675,0,1,922.96875,0.4375,72.1834259,409.1659546,3948.412354
reinforce_plus_plus,REINFORCE++,42,937653,18,0.5625,-0.06601247191,-0.06601247191,,0,1.404089808,0.06601247191,0.5261361003,0.4982568324,0,1,951.65625,0.53125,72.5962677,419.484375,3980.661621
